ID;FFECHA;Mora30;Mora60;MoraMax_UltimoSemestre;Experiencia;PersonasCargo;GastosFamiliares;GastoArriendo;TiempoActividad;OCUPACION;TIPCONTRATO;Edad;Estado_Civil;Genero;Ingresos;Nivel_Academico;Tipo_Vivienda;TiempoCliente;Tiempo_SistemaFro;PORCEND;Obligaciones_SistemaFro
877;201708;0;0;17;0;0;6160;0;2;EMPLEADO;TÉRMINO INDEFINIDO;31;SOLTERO;FEMENINO;9194,029851;ESPECIALIZACIÓN;FAMILIAR;0;0;0,487012987;0
878;201709;0;0;0;0;0;6845,92;0;3;JUBILADOS/PENSIONADO;TÉRMINO INDEFINIDO;58;OTROS;FEMENINO;10217,79104;UNIVERSITARIO;FAMILIAR;1;0;1,022506836;0
879;201710;1;1;79;1;0;6420;0;2;EMPLEADO;TÉRMINO FIJO;36;SOLTERO;FEMENINO;9582,089552;TECNÓLOGO;FAMILIAR;13;0;0,934579439;0
880;201712;0;0;0;0;0;8545;0;2;EMPLEADO;TÉRMINO INDEFINIDO;32;CASADO;FEMENINO;12753,73134;TECNÓLOGO;FAMILIAR;128;0;0,468110006;0
881;201705;0;0;17;0;0;8630,71;0;10;EMPLEADO;TÉRMINO INDEFINIDO;36;SOLTERO;FEMENINO;12881,65672;UNIVERSITARIO;FAMILIAR;10;0;1,042787905;0
882;201708;0;0;0;0;0;9000;0;2;JUBILADOS/PENSIONADO;OTROS;62;VIUDO;FEMENINO;11860,56716;BACHILLER;PROPIA;75;0;1,006722389;0
883;201706;0;0;16;0;1;7000;0;2;EMPLEADO;TÉRMINO FIJO;35;CASADO;FEMENINO;9194,029851;BACHILLER;PROPIA;6;6;0,974025974;1
884;201809;0;0;0;1;1;6160;0;2;EMPLEADO;TÉRMINO INDEFINIDO;31;SOLTERO;FEMENINO;9194,029851;BACHILLER;FAMILIAR;3;82;0,649350649;1
885;201707;0;0;15;0;0;6160;0;4;EMPLEADO;TÉRMINO INDEFINIDO;31;SOLTERO;FEMENINO;9194,029851;TECNÓLOGO;FAMILIAR;0;0;0,487012987;0
886;201707;0;0;17;0;0;6165;0;2;EMPLEADO;TÉRMINO INDEFINIDO;51;SOLTERO;FEMENINO;9201,492537;UNIVERSITARIO;FAMILIAR;0;0;0,486618005;0
887;201711;1;0;47;0;0;9000;0;1;EMPLEADO;TÉRMINO INDEFINIDO;46;SOLTERO;FEMENINO;13432,83582;BACHILLER;FAMILIAR;0;0;0,555555556;0
888;201708;0;0;0;0;0;7280;0;1;EMPLEADO;TÉRMINO INDEFINIDO;44;CASADO;FEMENINO;10865,67164;TECNÓLOGO;PROPIA;0;0;0,54945055;0
889;201705;0;0;0;1;0;6160;0;5;EMPLEADO;TÉRMINO INDEFINIDO;40;CASADO;FEMENINO;9194,029851;TECNÓLOGO;FAMILIAR;25;25;0,974025974;1
890;201712;1;0;47;0;1;6231,18;0;5;EMPLEADO;TÉRMINO INDEFINIDO;52;SOLTERO;FEMENINO;9300,268657;BACHILLER;FAMILIAR;24;24;0,962899483;0
891;201712;0;0;17;0;0;8349;0;7;EMPLEADO;TÉRMINO INDEFINIDO;32;SOLTERO;FEMENINO;12461,19403;TECNÓLOGO;FAMILIAR;6;6;0,958198587;1
892;201708;0;0;30;1;0;6500;0;2;EMPLEADO;OBRA, LABOR O MISIÓN;37;SOLTERO;FEMENINO;9701,492537;UNIVERSITARIO;FAMILIAR;12;0;1,076923077;0
893;201704;1;0;58;1;1;8000;0;1;EMPLEADO;TÉRMINO INDEFINIDO;37;SOLTERO;FEMENINO;11940,29851;UNIVERSITARIO;FAMILIAR;15;21;1;1
894;201708;0;0;0;0;0;6690;0;1;EMPLEADO;TÉRMINO INDEFINIDO;36;SOLTERO;FEMENINO;9985,074627;UNIVERSITARIO;PROPIA;4;58;1,046337818;0
895;201710;0;0;0;0;0;8000;0;3;EMPLEADO;OTROS;36;CASADO;FEMENINO;11940,29851;ESPECIALIZACIÓN;FAMILIAR;7;7;1;0
896;201803;1;1;151;1;0;8631;0;1;EMPLEADO;TÉRMINO INDEFINIDO;35;SOLTERO;FEMENINO;12882,08955;UNIVERSITARIO;FAMILIAR;2;2;1,042752868;1
897;201803;0;0;18;1;5;7210;0;2;EMPLEADO;TÉRMINO INDEFINIDO;36;CASADO;FEMENINO;10761,19403;BACHILLER;FAMILIAR;4;0;0,970873786;0
898;201703;0;0;15;0;1;7472,06;0;5;EMPLEADO;TÉRMINO FIJO;45;SOLTERO;FEMENINO;11152,32836;TECNÓLOGO;FAMILIAR;6;0;0,535327607;0
899;201705;1;1;78;0;2;6160;0;1;EMPLEADO;OBRA, LABOR O MISIÓN;41;OTROS;FEMENINO;9194,029851;BACHILLER;FAMILIAR;0;0;0,487012987;0
900;201706;0;0;0;0;2;7053,99;0;2;EMPLEADO;TÉRMINO INDEFINIDO;36;SOLTERO;FEMENINO;10528,34328;UNIVERSITARIO;FAMILIAR;12;0;0,992346176;0
901;201705;0;0;0;0;0;7077;0;2;EMPLEADO;OTROS;33;SOLTERO;FEMENINO;10562,68657;TECNÓLOGO;FAMILIAR;0;0;0,565211248;0
902;201710;0;0;17;0;1;9800;0;1;EMPLEADO;TÉRMINO FIJO;29;SOLTERO;FEMENINO;14626,86567;TECNÓLOGO;FAMILIAR;0;0;0,510204082;0
903;201709;0;0;28;1;1;9650;0;13;EMPLEADO;TÉRMINO INDEFINIDO;37;OTROS;FEMENINO;14402,98507;UNIVERSITARIO;FAMILIAR;12;66;1,03626943;2
904;201704;0;0;0;0;0;9500;0;1;EMPLEADO;TÉRMINO INDEFINIDO;32;SOLTERO;FEMENINO;14179,10448;UNIVERSITARIO;FAMILIAR;22;0;0,52631579;0
905;201703;0;0;17;1;0;9500;0;4;EMPLEADO;TÉRMINO INDEFINIDO;30;OTROS;FEMENINO;14179,10448;UNIVERSITARIO;FAMILIAR;1;63;1,052631579;1
906;201710;0;0;18;0;0;6160;0;1;EMPLEADO;TÉRMINO INDEFINIDO;30;SOLTERO;FEMENINO;9194,029851;OTROS;FAMILIAR;0;0;0,487012987;0
907;201708;0;0;0;0;0;6160;0;4;JUBILADOS/PENSIONADO;OTROS;62;SOLTERO;FEMENINO;9194,029851;TECNÓLOGO;PROPIA;58;0;0,974025974;0
908;201711;0;0;30;0;0;9148;0;0;EMPLEADO;TÉRMINO INDEFINIDO;46;SOLTERO;FEMENINO;13653,73134;OTROS;FAMILIAR;0;0;0,546567556;0
909;201705;0;0;0;1;0;9992,87;0;1;JUBILADOS/PENSIONADO;OTROS;62;VIUDO;FEMENINO;14914,73134;BACHILLER;PROPIA;7;52;1,000713509;1
